country,band,scenario,mean_mw_m2,median_mw_m2,iqr_mw_m2,availability_note,available
Netherlands,Mobile UL 700 MHz,UL,0.00,0.00,0.00,,true
Netherlands,Mobile UL 800 MHz,NU,0.00,0.00,0.00,,true
Netherlands,Mobile UL 800 MHz,DL,0.30,0.01,0.13,,true
Netherlands,Mobile UL 800 MHz,UL,3.47,0.29,5.08,,true
Netherlands,Mobile UL 900 MHz,NU,0.00,0.00,0.00,,true
Netherlands,Mobile UL 900 MHz,DL,0.00,0.00,0.00,,true
Netherlands,Mobile UL 900 MHz,UL,0.00,0.00,0.00,,true
Netherlands,Mobile UL 1.8 GHz,NU,0.00,0.00,0.00,,true
Netherlands,Mobile UL 1.8 GHz,DL,9.12,0.93,6.20,,true
Netherlands,Mobile UL 1.8 GHz,UL,19.01,11.75,26.68,,true
Netherlands,Mobile UL 2.1 GHz,NU,0.00,0.00,0.00,,true
Netherlands,Mobile UL 2.1 GHz,DL,0.04,0.00,0.00,,true
Netherlands,Mobile UL 2.1 GHz,UL,2.29,0.00,0.00,,true
Netherlands,Mobile UL 2.6 GHz,NU,0.00,0.00,0.00,,true
Netherlands,Mobile UL 2.6 GHz,DL,0.05,0.00,0.00,,true
Netherlands,Mobile UL 2.6 GHz,UL,0.48,0.00,0.00,,true
Netherlands,Mobile TDD 2.6 GHz,NU,0.04,0.00,0.01,,true
Netherlands,Mobile TDD 2.6 GHz,DL,0.05,0.00,0.01,,true
Netherlands,Mobile TDD 2.6 GHz,UL,0.03,0.00,0.01,,true
Netherlands,Mobile TDD 3.5 GHz,NU,0.00,0.00,0.00,,true
Netherlands,Mobile TDD 3.5 GHz,DL,0.00,0.00,0.00,,true
Netherlands,Mobile TDD 3.5 GHz,UL,0.00,0.00,0.00,,true
Poland,Broadcast,NU,0.13,0.00,0.01,,true
Poland,Broadcast,DL,0.17,0.00,0.01,,true
Poland,Broadcast,UL,0.17,0.00,0.01,,true
Poland,DECT,NU,0.00,0.00,0.00,,true
Poland,DECT,DL,0.00,0.00,0.00,,true
Poland,DECT,UL,0.00,0.00,0.00,,true
Poland,WiFi 5 GHz,NU,0.00,0.00,0.00,,true
Poland,WiFi 5 GHz,DL,0.00,0.00,0.00,,true
Poland,WiFi 5 GHz,UL,0.00,0.00,0.00,,true
Poland,ISM/WiFi 2.4 GHz,NU,0.01,0.00,0.00,,true
Poland,ISM/WiFi 2.4 GHz,DL,0.01,0.00,0.00,,true
Poland,ISM/WiFi 2.4 GHz,UL,0.01,0.00,0.00,,true
Poland,Mobile SDL 700 MHz,NU,0.00,0.00,0.00,,true
Poland,Mobile SDL 700 MHz,DL,0.00,0.00,0.00,,true
Poland,Mobile SDL 700 MHz,UL,0.00,0.00,0.00,,true
Poland,Mobile DL 700 MHz,NU,0.00,0.00,0.00,,true
Poland,Mobile DL 700 MHz,DL,0.00,0.00,0.00,,true
Poland,Mobile DL 700 MHz,UL,0.00,0.00,0.00,,true
Poland,Mobile DL 800 MHz,NU,0.13,0.01,0.08,,true
Poland,Mobile DL 800 MHz,DL,0.13,0.01,0.07,,true
Poland,Mobile DL 800 MHz,UL,0.11,0.01,0.07,,true
Poland,Mobile DL 900 MHz,NU,0.22,0.03,0.16,,true
Poland,Mobile DL 900 MHz,DL,0.19,0.02,0.12,,true
Poland,Mobile DL 900 MHz,UL,0.18,0.02,0.13,,true
Poland,Mobile DL 1.4 GHz,NU,0.00,0.00,0.00,,true
Poland,Mobile DL 1.4 GHz,DL,0.00,0.00,0.00,,true
Poland,Mobile DL 1.4 GHz,UL,0.00,0.00,0.00,,true
Poland,Mobile DL 1.8 GHz,NU,0.27,0.04,0.16,,true
Poland,Mobile DL 1.8 GHz,DL,0.26,0.02,0.14,,true
Poland,Mobile DL 1.8 GHz,UL,0.23,0.03,0.13,,true
Poland,Mobile DL 2.1 GHz,NU,0.30,0.03,0.15,,true
Poland,Mobile DL 2.1 GHz,DL,0.28,0.02,0.13,,true
Poland,Mobile DL 2.1 GHz,UL,0.26,0.02,0.13,,true
Poland,Mobile DL 2.6 GHz,NU,0.15,0.02,0.10,,true
Poland,Mobile DL 2.6 GHz,DL,0.14,0.01,0.06,,true
Poland,Mobile DL 2.6 GHz,UL,0.12,0.01,0.06,,true
Poland,Mobile UL 700 MHz,NU,0.00,0.00,0.00,,true
