scope,site,standpoint,component,category,event_count,transport_contribution,transport_fraction,mean_sab_w_m2,absorbed_power_w,sar_wb_w_kg,body_fraction_sar_wb_w_kg,status
standpoint,korenmarkt,3,first_diffuse,atlas_interface,1293970,4.219659473436496e-05,0.39807063535391646,0.0747858397928425,0.1400363309279417,0.0019342034658555484,0.33804922573013824,pass
standpoint,korenmarkt,3,first_diffuse,nonblocking_woody_atlas,0,0.0,0.0,0.0,0.0,0.0,0.0,pass
standpoint,korenmarkt,3,first_diffuse,geometric_no_panorama_evidence,9117,1.118623439204674e-06,0.01055277436412048,0.002526970015567649,0.004731746147736443,6.535560977536524e-05,0.011422486657529993,pass
standpoint,korenmarkt,3,first_diffuse,geometric_evidence_refused_host_compatibility,83738,6.268756371173277e-05,0.591376590281963,0.14391485202490936,0.2694802639033114,0.0037221030925871745,0.6505282876123318,pass
standpoint,korenmarkt,3,first_diffuse,geometric_evidence_refused_atlas_state,0,0.0,0.0,0.0,0.0,0.0,0.0,pass
standpoint,korenmarkt,3,first_diffuse,geometric_evidence_refused_insufficient_structural_mass,0,0.0,0.0,0.0,0.0,0.0,0.0,pass
standpoint,korenmarkt,3,first_diffuse,geometric_fallback_other,0,0.0,0.0,0.0,0.0,0.0,0.0,pass
standpoint,korenmarkt,3,non_direct,atlas_interface,1305650,0.004348757259824642,0.9258758422817606,8.74825734593812,16.38109385589643,0.22625820242950875,0.9210732173902377,pass
standpoint,korenmarkt,3,non_direct,nonblocking_woody_atlas,0,0.0,0.0,0.0,0.0,0.0,0.0,pass
standpoint,korenmarkt,3,non_direct,geometric_no_panorama_evidence,9165,3.523697785715469e-06,0.0007502158571681788,0.008322270891292366,0.015583435097248615,0.00021524081626033998,0.0008762226032816572,pass
standpoint,korenmarkt,3,non_direct,geometric_evidence_refused_host_compatibility,85130,0.0003446309405415734,0.07337394186107121,0.7413160778531115,1.3881128284177873,0.01917282912179264,0.07805056000648054,pass
standpoint,korenmarkt,3,non_direct,geometric_evidence_refused_atlas_state,0,0.0,0.0,0.0,0.0,0.0,0.0,pass
standpoint,korenmarkt,3,non_direct,geometric_evidence_refused_insufficient_structural_mass,0,0.0,0.0,0.0,0.0,0.0,0.0,pass
standpoint,korenmarkt,3,non_direct,geometric_fallback_other,0,0.0,0.0,0.0,0.0,0.0,0.0,pass
standpoint,korenmarkt,4,direct,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
standpoint,korenmarkt,4,specular,atlas_interface,10864,0.0036104801768589347,0.9489492480463491,7.032985852362163,13.16925151821561,0.181895739201873,0.9435890539906217,pass
standpoint,korenmarkt,4,specular,nonblocking_woody_atlas,0,0.0,0.0,0.0,0.0,0.0,0.0,pass
standpoint,korenmarkt,4,specular,geometric_no_panorama_evidence,48,5.702546664899283e-06,0.0014988109903744864,0.013719682805483031,0.02569007778607429,0.0003548353285369377,0.001840717838943051,pass
standpoint,korenmarkt,4,specular,geometric_evidence_refused_host_compatibility,1136,0.0001885309471935588,0.04955194096327637,0.406736005530922,0.7616123323427411,0.010519507352800283,0.05457022817043533,pass
standpoint,korenmarkt,4,specular,geometric_evidence_refused_atlas_state,0,0.0,0.0,0.0,0.0,0.0,0.0,pass
standpoint,korenmarkt,4,specular,geometric_evidence_refused_insufficient_structural_mass,0,0.0,0.0,0.0,0.0,0.0,0.0,pass
standpoint,korenmarkt,4,specular,geometric_fallback_other,0,0.0,0.0,0.0,0.0,0.0,0.0,pass
standpoint,korenmarkt,4,first_diffuse,atlas_interface,1267264,5.209474266856968e-05,0.3629721650551729,0.09150657518073466,0.17134587349139246,0.002366655711207078,0.3016307301410355,pass
standpoint,korenmarkt,4,first_diffuse,nonblocking_woody_atlas,0,0.0,0.0,0.0,0.0,0.0,0.0,pass
standpoint,korenmarkt,4,first_diffuse,geometric_no_panorama_evidence,7568,1.26318788891774e-06,0.008801311215393974,0.0029227712172919776,0.005472883082480735,7.559230776907093e-05,0.009634254309766686,pass
standpoint,korenmarkt,4,first_diffuse,geometric_evidence_refused_host_compatibility,90453,9.016476259627305e-05,0.6282265237294331,0.2089435066861015,0.39124628577534337,0.005403954223416345,0.6887350155491977,pass
standpoint,korenmarkt,4,first_diffuse,geometric_evidence_refused_atlas_state,0,0.0,0.0,0.0,0.0,0.0,0.0,pass
standpoint,korenmarkt,4,first_diffuse,geometric_evidence_refused_insufficient_structural_mass,0,0.0,0.0,0.0,0.0,0.0,0.0,pass
standpoint,korenmarkt,4,first_diffuse,geometric_fallback_other,0,0.0,0.0,0.0,0.0,0.0,0.0,pass
standpoint,korenmarkt,4,non_direct,atlas_interface,1278128,0.0036625749195275045,0.9276483426986208,7.124492427542898,13.340597391707002,0.18426239491308008,0.9184817459669241,pass
standpoint,korenmarkt,4,non_direct,nonblocking_woody_atlas,0,0.0,0.0,0.0,0.0,0.0,0.0,pass
standpoint,korenmarkt,4,non_direct,geometric_no_panorama_evidence,7616,6.965734553817023e-06,0.0017642648291165837,0.01664245402277501,0.031162960868555026,0.00043042763630600863,0.0021455269106496096,pass
standpoint,korenmarkt,4,non_direct,geometric_evidence_refused_host_compatibility,91589,0.00027869570978983186,0.07058739247226253,0.6156795122170236,1.1528586181180844,0.01592346157621663,0.07937272712242642,pass
standpoint,korenmarkt,4,non_direct,geometric_evidence_refused_atlas_state,0,0.0,0.0,0.0,0.0,0.0,0.0,pass
standpoint,korenmarkt,4,non_direct,geometric_evidence_refused_insufficient_structural_mass,0,0.0,0.0,0.0,0.0,0.0,0.0,pass
standpoint,korenmarkt,4,non_direct,geometric_fallback_other,0,0.0,0.0,0.0,0.0,0.0,0.0,pass
standpoint,korenmarkt,5,direct,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
standpoint,korenmarkt,5,specular,atlas_interface,10784,0.004236014704965325,0.9634192894154021,7.978600909659776,14.939913764718142,0.20635240006516764,0.9561464422682646,pass
standpoint,korenmarkt,5,specular,nonblocking_woody_atlas,0,0.0,0.0,0.0,0.0,0.0,0.0,pass
standpoint,korenmarkt,5,specular,geometric_no_panorama_evidence,80,1.0511668683686135e-05,0.002390724555780297,0.024576838382986244,0.04602007923553185,0.0006356364535294452,0.002945260309190785,pass
standpoint,korenmarkt,5,specular,geometric_evidence_refused_host_compatibility,720,0.00015032840339797627,0.034189986028817565,0.3413608675401746,0.639197521149989,0.008828695043508137,0.040908297422544496,pass
standpoint,korenmarkt,5,specular,geometric_evidence_refused_atlas_state,0,0.0,0.0,0.0,0.0,0.0,0.0,pass
standpoint,korenmarkt,5,specular,geometric_evidence_refused_insufficient_structural_mass,0,0.0,0.0,0.0,0.0,0.0,0.0,pass
standpoint,korenmarkt,5,specular,geometric_fallback_other,0,0.0,0.0,0.0,0.0,0.0,0.0,pass
standpoint,korenmarkt,5,first_diffuse,atlas_interface,1212792,5.451865739881476e-05,0.22069323950634123,0.09590169639443621,0.17957572890861057,0.0024803277473564997,0.18191894885941376,pass
standpoint,korenmarkt,5,first_diffuse,nonblocking_woody_atlas,0,0.0,0.0,0.0,0.0,0.0,0.0,pass
standpoint,korenmarkt,5,first_diffuse,geometric_no_panorama_evidence,5414,8.748368274305686e-07,0.0035413669869518755,0.0020824067380995517,0.0038993023266283323,5.385776694238027e-05,0.003950182938732759,pass
standpoint,korenmarkt,5,first_diffuse,geometric_evidence_refused_host_compatibility,119683,0.00019164015991180206,0.7757653935067068,0.4291830611222921,0.8036443976890454,0.0111000607415614,0.8141308682018534,pass
standpoint,korenmarkt,5,first_diffuse,geometric_evidence_refused_atlas_state,0,0.0,0.0,0.0,0.0,0.0,0.0,pass
standpoint,korenmarkt,5,first_diffuse,geometric_evidence_refused_insufficient_structural_mass,0,0.0,0.0,0.0,0.0,0.0,0.0,pass
standpoint,korenmarkt,5,first_diffuse,geometric_fallback_other,0,0.0,0.0,0.0,0.0,0.0,0.0,pass
standpoint,korenmarkt,5,non_direct,atlas_interface,1223576,0.00429053336236414,0.9239096558720027,8.074502606054212,15.119489493626752,0.20883272781252413,0.9101409364143576,pass
standpoint,korenmarkt,5,non_direct,nonblocking_woody_atlas,0,0.0,0.0,0.0,0.0,0.0,0.0,pass
standpoint,korenmarkt,5,non_direct,geometric_no_panorama_evidence,5494,1.1386505511116705e-05,0.0024519334776979297,0.026659245121085796,0.04991938156216018,0.0006894942204718255,0.0030049739906470737,pass
standpoint,korenmarkt,5,non_direct,geometric_evidence_refused_host_compatibility,120403,0.00034196856330977833,0.07363841065029943,0.7705439286624667,1.4428419188390342,0.019928755785069537,0.08685408959499528,pass
standpoint,korenmarkt,5,non_direct,geometric_evidence_refused_atlas_state,0,0.0,0.0,0.0,0.0,0.0,0.0,pass
standpoint,korenmarkt,5,non_direct,geometric_evidence_refused_insufficient_structural_mass,0,0.0,0.0,0.0,0.0,0.0,0.0,pass
standpoint,korenmarkt,5,non_direct,geometric_fallback_other,0,0.0,0.0,0.0,0.0,0.0,0.0,pass
standpoint,korenmarkt,6,direct,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
standpoint,korenmarkt,6,specular,atlas_interface,10800,0.0043590820824907905,0.9554933830020018,7.940144852926107,14.867904877716846,0.2053578021784093,0.9445201711816328,pass
standpoint,korenmarkt,6,specular,nonblocking_woody_atlas,0,0.0,0.0,0.0,0.0,0.0,0.0,pass
standpoint,korenmarkt,6,specular,geometric_no_panorama_evidence,0,0.0,0.0,0.0,0.0,0.0,0.0,pass
standpoint,korenmarkt,6,specular,geometric_evidence_refused_host_compatibility,1008,0.00020304483543225911,0.04450661699799819,0.4663932975431051,0.8733204887213296,0.012062437689521125,0.055479828818367244,pass
standpoint,korenmarkt,6,specular,geometric_evidence_refused_atlas_state,0,0.0,0.0,0.0,0.0,0.0,0.0,pass
standpoint,korenmarkt,6,specular,geometric_evidence_refused_insufficient_structural_mass,0,0.0,0.0,0.0,0.0,0.0,0.0,pass
standpoint,korenmarkt,6,specular,geometric_fallback_other,0,0.0,0.0,0.0,0.0,0.0,0.0,pass
standpoint,korenmarkt,6,first_diffuse,atlas_interface,1213064,4.856204131563521e-05,0.18141072234472397,0.08659325798130846,0.16214569715856414,0.002239581452466356,0.14922689762068855,pass
standpoint,korenmarkt,6,first_diffuse,nonblocking_woody_atlas,0,0.0,0.0,0.0,0.0,0.0,0.0,pass
standpoint,korenmarkt,6,first_diffuse,geometric_no_panorama_evidence,5231,2.365384891088344e-06,0.008836246790504584,0.005384246082667272,0.010081989696424187,0.00013925400133182577,0.009278717046495886,pass
standpoint,korenmarkt,6,first_diffuse,geometric_evidence_refused_host_compatibility,136132,0.00021676370410781025,0.8097530308647715,0.4883016504448512,0.9143438343912226,0.012629058486066613,0.8414943853328155,pass
standpoint,korenmarkt,6,first_diffuse,geometric_evidence_refused_atlas_state,0,0.0,0.0,0.0,0.0,0.0,0.0,pass
