record_type,site,look,component,metric,quantile,standpoint,stratum,estimate,sealed_16_estimate,change_from_sealed_16_db,bootstrap_95_low,bootstrap_95_high
route_quantile,korenmarkt,32,all_specular,wbsar_m2_per_kg,q50,,,0.013538655357191738,,-2.410818666383218e-15,0.013538655357191738,0.013538655357191738
route_quantile,korenmarkt,32,all_specular,wbsar_m2_per_kg,q90,,,0.016950047194396665,,1.928654933106574e-15,0.016950047194396665,0.016950047194396665
route_quantile,korenmarkt,32,first_diffuse,total_transfer_m_inv2,q10,,,5.364901933985264e-06,,0.005183877033290223,5.326616760877715e-06,5.384534689366499e-06
route_quantile,korenmarkt,32,first_diffuse,total_transfer_m_inv2,q50,,,1.2236005856377218e-05,,0.01105954174258555,1.21707511666905e-05,1.2299356022037847e-05
route_quantile,korenmarkt,32,first_diffuse,total_transfer_m_inv2,q90,,,2.2567634169212965e-05,,0.00466746839854574,2.247893072686331e-05,2.2638690431643294e-05
route_quantile,korenmarkt,32,first_diffuse,wbsar_m2_per_kg,q10,,,0.00028805644087534065,,0.01068633419926645,0.0002858445221856652,0.0002901918698792579
route_quantile,korenmarkt,32,first_diffuse,wbsar_m2_per_kg,q50,,,0.0006731215144338907,,0.012001051809731949,0.0006693568446021945,0.000676791856904692
route_quantile,korenmarkt,32,first_diffuse,wbsar_m2_per_kg,q90,,,0.0012613424716934442,,0.0031158229752071163,0.0012561681799521545,0.0012660320579950186
route_quantile,korenmarkt,32,total,total_transfer_m_inv2,q10,,,0.001071761120362986,,1.405283973858376e-05,0.0010717259308515533,0.0010717958435625952
route_quantile,korenmarkt,32,total,total_transfer_m_inv2,q50,,,0.0012744965549214794,,0.00010604509486592656,0.0012744313002317927,0.00127455990508714
route_quantile,korenmarkt,32,total,total_transfer_m_inv2,q90,,,0.0014653885984064893,,7.184306478170743e-05,0.0014652998949641399,0.001465469401523309
route_quantile,korenmarkt,32,total,wbsar_m2_per_kg,q10,,,0.05783284531059611,,7.620506750587467e-06,0.05783073868183892,0.05783495378092092
route_quantile,korenmarkt,32,total,wbsar_m2_per_kg,q50,,,0.062047042853780265,,0.00013001644313397276,0.06204327818394857,0.06205071319625107
route_quantile,korenmarkt,32,total,wbsar_m2_per_kg,q90,,,0.06867264545103162,,5.720962428019335e-05,0.06866747115929031,0.06867736345035877
pointwise,korenmarkt,32,total,total_transfer_m_inv2,,0,nonshadowed,0.00102802687420449,0.0010280142026844396,5.353172460619544e-05,,
pointwise,korenmarkt,32,total,total_transfer_m_inv2,,1,nonshadowed,0.0010766204810472631,0.001076618035678444,9.864306031034479e-06,,
pointwise,korenmarkt,32,total,total_transfer_m_inv2,,2,nonshadowed,0.0011205759711272476,0.001120574983191499,3.828881256942767e-06,,
pointwise,korenmarkt,32,total,total_transfer_m_inv2,,3,nonshadowed,0.0012115761975091657,0.0012115604901478181,5.630404915557899e-05,,
pointwise,korenmarkt,32,total,total_transfer_m_inv2,,4,nonshadowed,0.001246740483229794,0.0012467120179151436,9.915832824685918e-05,,
pointwise,korenmarkt,32,total,total_transfer_m_inv2,,5,nonshadowed,0.0013022526266131646,0.0013022188519207986,0.00011263830411810272,,
pointwise,korenmarkt,32,total,total_transfer_m_inv2,,6,nonshadowed,0.0013260763166057542,0.001326081534535518,-1.7088862960446116e-05,,
pointwise,korenmarkt,32,total,total_transfer_m_inv2,,7,nonshadowed,0.0013853156353380348,0.001385293347263188,6.987335982297991e-05,,
pointwise,korenmarkt,32,total,total_transfer_m_inv2,,8,nonshadowed,0.001464687656939959,0.0014646644344962585,6.885740491981729e-05,,
pointwise,korenmarkt,32,total,total_transfer_m_inv2,,9,nonshadowed,0.0014716970716052628,0.0014716636640317447,9.858611387721599e-05,,
pointwise,korenmarkt,32,total,wbsar_m2_per_kg,,0,nonshadowed,0.05526261904355245,0.05526184239623064,6.10351123835544e-05,,
pointwise,korenmarkt,32,total,wbsar_m2_per_kg,,1,nonshadowed,0.058118426006934294,0.05811839954727527,1.9772191560000495e-06,,
pointwise,korenmarkt,32,total,wbsar_m2_per_kg,,2,nonshadowed,0.05917810699962075,0.059178017566153394,6.5633209118494365e-06,,
pointwise,korenmarkt,32,total,wbsar_m2_per_kg,,3,nonshadowed,0.06256975560446812,0.06256895408717962,5.563339056458289e-05,,
pointwise,korenmarkt,32,total,wbsar_m2_per_kg,,4,nonshadowed,0.06201509734238058,0.062013393250124144,0.00011933997747397659,,
pointwise,korenmarkt,32,total,wbsar_m2_per_kg,,5,nonshadowed,0.06207898836517996,0.062076977459709415,0.000140681946897985,,
pointwise,korenmarkt,32,total,wbsar_m2_per_kg,,6,nonshadowed,0.06159724024661393,0.06159763773150887,-2.8024784690192514e-05,,
pointwise,korenmarkt,32,total,wbsar_m2_per_kg,,7,nonshadowed,0.06505213841837698,0.06505075127901826,9.260777689855267e-05,,
pointwise,korenmarkt,32,total,wbsar_m2_per_kg,,8,nonshadowed,0.06864026005989433,0.06863950586957838,4.7718713723942976e-05,,
pointwise,korenmarkt,32,total,wbsar_m2_per_kg,,9,nonshadowed,0.06896411397126713,0.0689618554941825,0.0001422276224336506,,
